Game_Id,Player_Id,Team_Id,Game_Rating,SA,GA,SV,SV_percent,TOI,PIM
26065,29280,1477,98,38,1,37,.974,3600000,0
26066,1494,2193,52,30,4,26,.867,3600000,0
26066,11913,2193,0,0,0,0,.00nan,0,0
26066,12202,511,97,31,1,30,.968,3600000,0
26066,30828,511,0,0,0,0,.00nan,0,0
26067,2246,519,56,19,2,17,.895,3547000,0
26067,10640,520,100,47,1,46,.979,3600000,0
26067,12482,520,0,0,0,0,.00nan,0,0
26067,19873,519,0,0,0,0,.00nan,0,0
26068,15207,1872,0,0,0,0,.00nan,0,0
26068,25505,1872,76,37,3,34,.919,3600000,0
26068,30415,524,0,0,0,0,.00nan,0,0
26068,52881,524,83,18,0,18,1000,3600000,0
26069,3101,514,76,20,1,19,.950,3600000,0
26069,30229,523,98,39,2,37,.949,3573000,0
26069,32674,514,0,0,0,0,.00nan,0,0
26069,53146,523,0,0,0,0,.00nan,0,0
26070,10629,518,0,0,0,0,.00nan,0,0
26070,12219,515,0,0,0,0,.00nan,0,0
26070,20860,518,85,45,3,42,.933,3576000,0
26070,52900,515,82,25,1,24,.960,3600000,0
26071,378,516,51,18,2,16,.889,3563000,0
26071,1320,516,0,0,0,0,.00nan,0,0
26071,15686,512,95,32,1,31,.969,3600000,0
26071,17781,512,0,0,0,0,.00nan,0,0
26072,10599,1477,63,36,4,32,.889,3593000,0
26072,15782,513,77,37,3,34,.919,3600000,0
26072,29280,1477,0,0,0,0,.00nan,0,0
26072,29898,513,0,0,0,0,.00nan,0,0
26073,10599,1477,86,38,2,36,.947,3600000,0
26073,29280,1477,0,0,0,0,.00nan,0,0
26073,30415,524,0,0,0,0,.00nan,0,0
26073,52881,524,75,25,1,24,.960,3600000,0
26074,3101,514,54,24,3,21,.875,3586000,0
26074,15686,512,0,0,0,0,.00nan,0,0
26074,17781,512,98,31,1,30,.968,3600000,0
26074,32674,514,0,0,0,0,.00nan,0,0
26076,10640,520,30,22,5,17,.773,3600000,0
26076,12219,515,0,0,0,0,.00nan,0,0
26076,12482,520,0,0,0,0,.00nan,0,0
26076,52900,515,63,34,4,30,.882,3600000,0
26080,1494,2193,0,0,0,0,.00nan,0,0
26080,15207,1872,0,0,0,0,.00nan,0,0
26080,15358,2193,96,21,0,21,1000,3600000,0
26080,25505,1872,86,33,1,32,.970,3551000,0
26081,10599,1477,69,33,3,30,.909,3232000,0
26081,10640,520,76,31,3,28,.903,3600000,0
26081,12482,520,0,0,0,0,.00nan,0,0
26081,29280,1477,26,6,3,3,.500,368000,0
26082,3101,514,0,0,0,0,.00nan,0,0
26082,12219,515,69,27,2,25,.926,3600000,0
26082,32674,514,82,50,4,46,.920,3534000,0
26082,52900,515,0,0,0,0,.00nan,0,0
26083,15782,513,90,30,2,28,.933,3900000,0
26083,29898,513,0,0,0,0,.00nan,0,0
26083,30415,524,0,0,0,0,.00nan,0,0
26083,52881,524,72,31,2,29,.935,3900000,0
26084,15686,512,0,0,0,0,.00nan,0,0
26084,17781,512,53,19,2,17,.895,3600000,0
26084,30229,523,78,38,3,35,.921,3543000,0
26084,53146,523,0,0,0,0,.00nan,0,0
26086,378,516,0,0,0,0,.00nan,0,0
26086,1320,516,100,37,2,35,.946,3600000,0
26086,2246,519,46,23,3,20,.870,3600000,0
26086,19873,519,0,0,0,0,.00nan,0,0
26087,10599,1477,0,0,0,0,.00nan,0,0
26087,10629,518,62,29,3,26,.897,3610000,0
26087,20860,518,0,0,0,0,.00nan,0,0
26087,29280,1477,59,30,4,26,.867,3610000,0
26088,378,516,58,35,4,31,.886,3562000,0
26088,1320,516,0,0,0,0,.00nan,0,0
26088,15782,513,80,41,3,38,.927,3600000,0
26088,29898,513,0,0,0,0,.00nan,0,0
26089,1494,2193,0,0,0,0,.00nan,0,0
26089,15358,2193,63,43,5,38,.884,3600000,0
26089,30415,524,0,0,0,0,.00nan,0,0
26089,52881,524,71,27,1,26,.963,3600000,0
26090,12219,515,0,0,0,0,.00nan,0,0
26090,30229,523,82,42,3,39,.929,3570000,0
26090,52900,515,72,29,2,27,.931,3600000,0
26090,53146,523,0,0,0,0,.00nan,0,0
26092,2246,519,48,41,6,35,.854,3600000,0
26092,15686,512,0,0,0,0,.00nan,0,0
26092,17781,512,59,31,4,27,.871,3600000,0
26092,19873,519,0,0,0,0,.00nan,0,0
26093,10640,520,99,18,0,18,1000,3600000,0
26093,12482,520,0,0,0,0,.00nan,0,0
26093,15207,1872,84,28,1,27,.964,3554000,0
26093,25505,1872,0,0,0,0,.00nan,0,0
26094,30229,523,52,29,4,25,.862,3734000,0
26094,30415,524,0,0,0,0,.00nan,0,0
26094,52881,524,47,22,3,19,.864,3734000,0
26094,53146,523,0,0,0,0,.00nan,0,0
26095,12219,515,0,0,0,0,.00nan,0,0
26095,15686,512,0,0,0,0,.00nan,0,0
26095,17781,512,84,10,0,10,1000,3600000,0
26095,52900,515,75,40,3,37,.925,3600000,0
26096,1494,2193,100,41,0,41,1000,3600000,0
26096,10599,1477,49,15,3,12,.800,3600000,0
26096,15358,2193,0,0,0,0,.00nan,0,0
26096,29280,1477,0,0,0,0,.00nan,0,0
26097,2246,519,69,20,2,18,.900,3900000,0
26097,3101,514,97,46,2,44,.957,3900000,0
26097,19873,519,0,0,0,0,.00nan,0,0
26097,32674,514,0,0,0,0,.00nan,0,0
26098,10629,518,0,0,0,0,.00nan,0,0
26098,15782,513,84,28,1,27,.964,3600000,0
26098,20860,518,80,30,2,28,.933,3545000,0
26098,29898,513,0,0,0,0,.00nan,0,0
26099,378,516,0,0,0,0,.00nan,0,0
26099,1320,516,37,21,4,17,.810,3600000,0
26099,15207,1872,89,34,2,32,.941,3600000,0
26099,25505,1872,0,0,0,0,.00nan,0,0
26100,10640,520,70,26,2,24,.923,3898000,0
26100,12202,511,0,0,0,0,.00nan,0,0
